,county,"('insured_female', 'sum')","('uninsured_female', 'sum')",death_rate,race
16,Crockett County,32320,4217,31.9,All races
85,Unicoi County,39588,3761,31.7,All races
75,Scott County,48759,5678,31.3,All races
91,Weakley County,76683,7217,31.1,All races
30,Grundy County,28295,5002,30.9,All races
38,Henderson County,63811,6175,29.7,All races
83,Tipton County,141052,12441,29.6,All races
48,Lauderdale County,54916,5973,29.4,All races
86,Union County,43179,5268,27.3,All races
21,Dickson County,116437,14167,27.2,All races
78,Shelby County,2125360,264365,27.0,All races
40,Hickman County,51826,6040,26.7,All races
11,Chester County,38834,4921,26.6,All races
64,Morgan County,42413,5243,26.5,All races
10,Cheatham County,90432,8901,25.9,All races
59,McNairy County,58249,6618,25.3,All races
5,Bradley County,234173,29345,25.2,All races
8,Carroll County,64093,5310,24.3,All races
22,Dyer County,86180,8551,24.3,All races
49,Lawrence County,92941,14713,23.7,All races
34,Hardeman County,50567,5381,23.5,All races
6,Campbell County,88324,11008,23.5,All races
51,Lincoln County,77931,6307,23.4,All races
88,Warren County,89420,10957,23.4,All races
81,Sullivan County,362403,32839,23.4,All races
17,Cumberland County,133702,13534,23.3,All races
12,Claiborne County,73438,5847,23.1,All races
66,Overton County,50408,4674,22.9,All races
15,Coffee County,124924,11998,22.7,All races
26,Gibson County,113652,10103,22.6,All races
42,Humphreys County,41550,4514,22.5,All races
54,Madison County,228572,21080,22.4,All races
0,Anderson County,175695,14713,22.0,All races
61,Monroe County,103319,11351,21.9,All races
18,Davidson County,1527874,200482,21.8,All races
55,Marion County,65432,6063,21.7,All races
70,Putnam County,173496,17176,21.5,All races
74,Rutherford County,700668,69532,20.9,All races
92,White County,59408,7460,20.9,All races
52,Loudon County,117230,12750,20.7,All races
56,Marshall County,73248,7551,20.7,All races
77,Sevier County,203897,37022,20.6,All races
19,DeKalb County,43301,5096,20.5,All races
31,Hamblen County,141914,17345,20.5,All races
82,Sumner County,415212,36792,20.4,All races
27,Giles County,66569,6321,20.3,All races
1,Bedford County,105641,13393,20.2,All races
58,McMinn County,119756,12753,20.2,All races
32,Hamilton County,827669,77026,20.0,All races
93,Williamson County,526801,25971,20.0,All races
36,Hawkins County,129289,12689,19.8,All races
65,Obion County,68931,8313,19.7,All races
89,Washington County,289761,28882,19.5,All races
94,Wilson County,311921,21580,19.4,All races
62,Montgomery County,435731,36271,19.4,All races
14,Cocke County,78702,10755,19.4,All races
46,Knox County,1061015,91969,19.3,All races
4,Blount County,297609,27029,19.1,All races
71,Rhea County,73113,8158,19.0,All races
44,Jefferson County,120235,13141,18.7,All races
39,Henry County,75146,6399,18.6,All races
73,Robertson County,158646,14320,17.7,All races
57,Maury County,206241,20739,17.4,All races
25,Franklin County,96616,7650,16.9,All races
23,Fayette County,91686,7681,16.9,All races
9,Carter County,123928,16598,16.0,All races
35,Hardin County,57248,6876,15.0,All races
29,Greene County,154185,16524,15.0,All races
72,Roane County,121939,10734,14.6,All races
2,Benton County,36289,4289,,All races
3,Bledsoe County,27286,3542,,All races
7,Cannon County,31688,3263,,All races
13,Clay County,17024,2257,,All races
20,Decatur County,25888,2791,,All races
24,Fentress County,40988,3884,,All races
28,Grainger County,51865,5556,,All races
33,Hancock County,14411,1817,,All races
37,Haywood County,40992,4665,,All races
41,Houston County,17856,2044,,All races
43,Jackson County,25142,3500,,All races
45,Johnson County,35367,4765,,All races
47,Lake County,11361,1487,,All races
50,Lewis County,26867,3247,,All races
53,Macon County,53293,5527,,All races
60,Meigs County,26805,3148,,All races
63,Moore County,14118,1613,,All races
67,Perry County,16447,3103,,All races
68,Pickett County,11602,840,,All races
69,Polk County,37211,4346,,All races
76,Sequatchie County,32670,3671,,All races
79,Smith County,44595,3687,,All races
80,Stewart County,30905,2317,,All races
84,Trousdale County,18500,2111,,All races
87,Van Buren County,12171,1805,,All races
90,Wayne County,32255,4669,,All races
